Tarih,TP_HPBITABLO1_11,TP_HPBITABLO1_11
2021-12-31,2021-53,5061707349.9
2022-01-07,2022-1,5185115607.5
2022-01-14,2022-2,5203741825.2
2022-01-21,2022-3,5201842869.1
2022-01-28,2022-4,5236177052.1
2022-02-04,2022-5,5233255517.9
2022-02-11,2022-6,5265322101.7
2022-02-18,2022-7,5312935611.3
2022-02-25,2022-8,5447597269.0
2022-03-04,2022-9,5412122216.0
2022-03-11,2022-10,5620241727.7
2022-03-18,2022-11,5679679055.8
2022-03-25,2022-12,5744619055.3
2022-04-01,2022-13,5719294124.4
2022-04-08,2022-14,5764517105.0
2022-04-15,2022-15,5805654785.9
2022-04-22,2022-16,5854348054.7
2022-04-29,2022-17,5902193643.6
2022-05-06,2022-18,5913940375.6
2022-05-13,2022-19,6038838194.6
2022-05-20,2022-20,6158927547.1
2022-05-27,2022-21,6297821480.7
2022-06-03,2022-22,6362345239.0
2022-06-10,2022-23,6540982141.5
2022-06-17,2022-24,6601298145.8
2022-06-24,2022-25,6672718112.9
2022-07-01,2022-26,6462852435.5
2022-07-08,2022-27,6682206183.2
2022-07-15,2022-28,6711519711.3
2022-07-22,2022-29,6820465153.2
2022-07-29,2022-30,6970334144.8
2022-08-05,2022-31,7126100300.9
2022-08-12,2022-32,7214303943.3
2022-08-19,2022-33,7228987895.1
2022-08-26,2022-34,7250816818.9
2022-09-02,2022-35,7285636812.7
2022-09-09,2022-36,7355469328.5
2022-09-16,2022-37,7432597015.4
2022-09-23,2022-38,7428304232.8
2022-09-30,2022-39,7487489960.8
2022-10-07,2022-40,7614596021.7
2022-10-14,2022-41,7663896251.5
2022-10-21,2022-42,7725575254.5
2022-10-28,2022-43,7775031119.4
2022-11-04,2022-44,7824907876.0
2022-11-11,2022-45,7930661871.3
2022-11-18,2022-46,7939606164.5
2022-11-25,2022-47,7931282407.7
2022-12-02,2022-48,7956026931.5
2022-12-09,2022-49,7979240081.8
2022-12-16,2022-50,8072998100.8
2022-12-23,2022-51,8129513086.0
2022-12-30,2022-52,8212797009.8
2023-01-06,2023-1,8191382985.5
2023-01-13,2023-2,8325344001.8
2023-01-20,2023-3,8410985694.0
2023-01-27,2023-4,8433097394.2
